127.0.0.1 - - [08/Aug/2017:10:53:51 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [08/Aug/2017:10:53:53 +0900] "GET /Animal_F/main/index.jsp HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [08/Aug/2017:10:53:54 +0900] "GET /Animal_F/main/main.jsp HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [08/Aug/2017:14:39:28 +0900] "GET /Animal_F/main/index.jsp HTTP/1.1" 200 2730
0:0:0:0:0:0:0:1 - - [08/Aug/2017:14:39:28 +0900] "GET /Animal_F/main/js/jquery.cookie.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [08/Aug/2017:14:39:28 +0900] "GET /Animal_F/main/image/mainlogo.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:14:39:28 +0900] "GET /Animal_F/board/image/line.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2017:14:39:29 +0900] "GET /Animal_F/main/js/jquery.cookie.js HTTP/1.1" 404 1103
0:0:0:0:0:0:0:1 - - [08/Aug/2017:14:39:29 +0900] "GET /Animal_F/main/main.jsp HTTP/1.1" 200 950
0:0:0:0:0:0:0:1 - - [08/Aug/2017:14:39:29 +0900] "GET /Animal_F/main/image/sidebar.PNG HTTP/1.1" 304 -
